2026-03-28 18:22:31 | W10 Qwen_10 | model=qwen3.5-plus | file=011_南海市西樵山旅游度假区志.md | chunk_0019 | E=0 R=0 | 0.7s
2026-03-28 18:22:31 | W5 Qwen_5 | model=qwen3.5-plus | file=021_大德南海志_维基文库.md | chunk_0003 | E=0 R=0 | 0.7s
2026-03-28 18:22:31 | W10 Qwen_10 | model=qwen3.5-plus | file=011_南海市西樵山旅游度假区志.md | chunk_0020 | E=0 R=0 | 0.7s
2026-03-28 18:22:32 | W5 Qwen_5 | model=qwen3.5-plus | file=021_大德南海志_维基文库.md | chunk_0004 | E=0 R=0 | 0.9s
2026-03-28 18:23:58 | W10 Qwen_10 | model=qwen3.5-plus | file=011_南海市西樵山旅游度假区志.md | chunk_0021 | E=0 R=0 | 1.8s
2026-03-28 18:23:58 | W5 Qwen_5 | model=qwen3.5-plus | file=006_佛山市志_上.md | chunk_0001 | E=0 R=0 | 2.0s
2026-03-28 18:23:58 | W1 Qwen_1 | model=qwen3.5-plus | file=002_中国旅行_广州佛山.md | chunk_0003 | E=0 R=0 | 2.1s
2026-03-28 18:23:58 | W9 Qwen_9 | model=qwen3.5-plus | file=010_南海市文化艺术志.md | chunk_0006 | E=0 R=0 | 2.2s
2026-03-28 18:23:59 | W11 Qwen_11 | model=qwen3.5-plus | file=012_南海文史资料_邹伯奇.md | chunk_0003 | E=0 R=0 | 2.3s
2026-03-28 18:23:59 | W3 Qwen_3 | model=qwen3.5-plus | file=004_佛山历史人物录.md | chunk_0003 | E=0 R=0 | 2.4s
2026-03-28 18:23:59 | W10 Qwen_10 | model=qwen3.5-plus | file=011_南海市西樵山旅游度假区志.md | chunk_0022 | E=0 R=0 | 0.7s
2026-03-28 18:23:59 | W5 Qwen_5 | model=qwen3.5-plus | file=006_佛山市志_上.md | chunk_0002 | E=0 R=0 | 0.9s
2026-03-28 18:23:59 | W1 Qwen_1 | model=qwen3.5-plus | file=002_中国旅行_广州佛山.md | chunk_0004 | E=0 R=0 | 0.8s
2026-03-28 18:23:59 | W3 Qwen_3 | model=qwen3.5-plus | file=004_佛山历史人物录.md | chunk_0004 | E=0 R=0 | 0.7s
2026-03-28 18:23:59 | W9 Qwen_9 | model=qwen3.5-plus | file=010_南海市文化艺术志.md | chunk_0007 | E=0 R=0 | 1.0s
2026-03-28 18:24:00 | W10 Qwen_10 | model=qwen3.5-plus | file=011_南海市西樵山旅游度假区志.md | chunk_0023 | E=0 R=0 | 0.8s
2026-03-28 18:24:00 | W5 Qwen_5 | model=qwen3.5-plus | file=006_佛山市志_上.md | chunk_0003 | E=0 R=0 | 0.7s
2026-03-28 18:24:00 | W1 Qwen_1 | model=qwen3.5-plus | file=002_中国旅行_广州佛山.md | chunk_0005 | E=0 R=0 | 0.8s
2026-03-28 18:24:00 | W3 Qwen_3 | model=qwen3.5-plus | file=004_佛山历史人物录.md | chunk_0005 | E=0 R=0 | 0.7s
2026-03-28 18:24:00 | W10 Qwen_10 | model=qwen3.5-plus | file=011_南海市西樵山旅游度假区志.md | chunk_0024 | E=0 R=0 | 0.7s
2026-03-28 18:24:01 | W5 Qwen_5 | model=qwen3.5-plus | file=006_佛山市志_上.md | chunk_0004 | E=0 R=0 | 0.7s
2026-03-28 18:24:01 | W1 Qwen_1 | model=qwen3.5-plus | file=002_中国旅行_广州佛山.md | chunk_0006 | E=0 R=0 | 1.1s
2026-03-28 18:24:01 | W10 Qwen_10 | model=qwen3.5-plus | file=011_南海市西樵山旅游度假区志.md | chunk_0025 | E=0 R=0 | 0.9s
2026-03-28 18:24:01 | W5 Qwen_5 | model=qwen3.5-plus | file=006_佛山市志_上.md | chunk_0005 | E=0 R=0 | 0.7s
2026-03-28 18:24:01 | W9 Qwen_9 | model=qwen3.5-plus | file=010_南海市文化艺术志.md | chunk_0008 | E=0 R=0 | 1.9s
2026-03-28 18:24:02 | W1 Qwen_1 | model=qwen3.5-plus | file=002_中国旅行_广州佛山.md | chunk_0007 | E=0 R=0 | 0.9s
2026-03-28 18:24:02 | W10 Qwen_10 | model=qwen3.5-plus | file=011_南海市西樵山旅游度假区志.md | chunk_0026 | E=0 R=0 | 0.7s
2026-03-28 18:24:02 | W5 Qwen_5 | model=qwen3.5-plus | file=006_佛山市志_上.md | chunk_0006 | E=0 R=0 | 0.9s
2026-03-28 18:24:03 | W1 Qwen_1 | model=qwen3.5-plus | file=002_中国旅行_广州佛山.md | chunk_0008 | E=0 R=0 | 0.7s
2026-03-28 18:24:04 | W1 Qwen_1 | model=qwen3.5-plus | file=002_中国旅行_广州佛山.md | chunk_0009 | E=0 R=0 | 0.9s
2026-03-28 18:24:04 | W1 Qwen_1 | model=qwen3.5-plus | file=002_中国旅行_广州佛山.md | chunk_0010 | E=0 R=0 | 0.7s
2026-03-28 18:24:05 | W1 Qwen_1 | model=qwen3.5-plus | file=002_中国旅行_广州佛山.md | chunk_0011 | E=0 R=0 | 1.1s
2026-03-28 18:24:06 | W1 Qwen_1 | model=qwen3.5-plus | file=002_中国旅行_广州佛山.md | chunk_0012 | E=0 R=0 | 1.0s
2026-03-28 18:24:07 | W1 Qwen_1 | model=qwen3.5-plus | file=002_中国旅行_广州佛山.md | chunk_0013 | E=0 R=0 | 0.7s
2026-03-28 18:24:08 | W1 Qwen_1 | model=qwen3.5-plus | file=002_中国旅行_广州佛山.md | chunk_0014 | E=0 R=0 | 0.9s
2026-03-28 18:24:09 | W1 Qwen_1 | model=qwen3.5-plus | file=002_中国旅行_广州佛山.md | chunk_0015 | E=0 R=0 | 0.8s
2026-03-28 18:24:10 | W1 Qwen_1 | model=qwen3.5-plus | file=002_中国旅行_广州佛山.md | chunk_0016 | E=0 R=0 | 0.8s
2026-03-28 18:24:10 | W1 Qwen_1 | model=qwen3.5-plus | file=002_中国旅行_广州佛山.md | chunk_0017 | E=0 R=0 | 0.9s
2026-03-28 18:24:11 | W7 Qwen_7 | model=qwen3.5-plus | file=008_佛山文史资料.md | chunk_0008 | E=0 R=0 | 14.5s
2026-03-28 18:24:11 | W14 Qwen_14 | model=qwen3.5-plus | file=015_南海美食_南海美食篇.md | chunk_0003 | E=5 R=5 | 14.9s
2026-03-28 18:24:11 | W12 Qwen_12 | model=qwen3.5-plus | file=013_南海美食_南海传说篇.md | chunk_0009 | E=6 R=4 | 15.2s
2026-03-28 18:24:14 | W9 Qwen_9 | model=qwen3.5-plus | file=010_南海市文化艺术志.md | chunk_0009 | E=11 R=0 | 12.8s
