entity_name,entity_type,mentions,source_count,lng,lat,town,match_source,match_id
凤山,地名,3,2,113.082716,23.232721,狮山镇,poi_contain,B0L67S1IK4
戴氏大宗祠,建筑遗迹,3,2,112.986359,22.891454,西樵镇,poi_exact,B0FFHKW8UF
云端村,地名,3,3,112.963727,22.929616,西樵镇,poi_contain,B0FFG39YLZ
大岸,地名,3,1,112.974069,22.987882,丹灶镇,poi_contain,
新田,地名,3,1,112.927313,22.885486,西樵镇,poi_contain,B0FFJQX278
吉水窦,建筑遗迹,3,2,112.96847,22.942825,nan,anchor_exact,ANC_0046
大岸圩,地名,3,1,112.966017,22.985038,,anchor_exact,ANC_0154
枫林白塔,建筑遗迹,3,3,112.958687,22.936283,西樵镇,poi_exact,B0FFHHJ5YR
玉池,建筑遗迹,3,2,112.968793,22.920113,西樵镇,poi_exact,B0FFFWJTPT
兴贤书院,建筑遗迹,3,1,113.10216,23.18814,大沥镇,poi_contain,B0FFIZSDND
会龙湖,地名,3,2,112.959232,22.936248,西樵镇,poi_exact,B0FFG23A2H
文昌庙,建筑遗迹,3,2,112.907281,22.953334,西樵镇,poi_exact,B0KUBLPGAD
飞流千尺,建筑遗迹,3,3,112.971259,22.937579,西樵镇,poi_exact,
伯奇公园,地名,3,1,113.188089,23.142504,大沥镇,poi_exact,B02F507H5G
遇仙桥,建筑遗迹,3,3,112.961218,22.935844,西樵镇,poi_exact,B0FFG26ZL6
瑞塔,建筑遗迹,3,3,113.182558,23.036301,桂城街道,poi_contain,B0FFJ82H3K
抱龙桥,建筑遗迹,3,3,112.896947,23.001197,丹灶镇,poi_contain,B0FFGGUVNZ
南海观音寺,建筑遗迹,3,3,113.108714,23.175651,大沥镇,poi_exact,B0FFG0YUHE
白衣观音庙,建筑遗迹,3,3,113.191867,23.026327,桂城街道,poi_contain,B0FFHRPUYH
四川,地名,3,2,113.149273,23.039141,桂城街道,poi_contain,B0FFJK5Y39
大谷,地名,3,3,113.032377,22.829994,丹灶镇,poi_contain,B0FFGGGS6G
盐步华光庙,建筑遗迹,3,2,113.167321,23.088397,里水镇,poi_contain,B0FFKF1MUV
仙湖,地名,3,3,112.890483,23.052763,狮山镇,poi_contain,B0FFJ8L54R
海港,地名,3,3,113.173849,23.029969,桂城街道,poi_contain,
桂城街道,地名,3,3,113.17698,23.002205,桂城街道,poi_contain,
佛山南海区,地名,3,3,113.039966,23.062335,狮山镇,poi_contain,B0HRR5U8U2
丰岗,地名,3,3,113.173709,23.191665,里水镇,poi_contain,B0FFIDQTSO
叶氏宗祠,建筑遗迹,3,1,113.015862,23.039626,丹灶镇,poi_exact,B0LDBOEMZ1
林氏大宗祠,建筑遗迹,3,1,113.197454,23.039498,桂城街道,poi_exact,B0FFGXPYGM
姚氏宗祠,建筑遗迹,3,2,113.139702,23.245616,里水镇,poi_exact,B0FFL1AE05
武馆,建筑遗迹,3,3,113.129977,23.117915,大沥镇,poi_contain,B0FFFSQEM9
越南,地名,3,3,113.149015,23.038673,桂城街道,poi_contain,B0G3JK0ZJC
古村,地名,3,1,113.155552,23.177707,里水镇,poi_contain,B0FFMA6TBC
南乔公祠,建筑遗迹,3,1,112.890704,23.075464,丹灶镇,poi_exact,B0H6NUELUV
陈氏大宗祠,建筑遗迹,3,1,113.196227,23.190165,里水镇,poi_exact,B0FFH3XXY4
大桐,地名,3,2,113.001148,22.882035,丹灶镇,poi_contain,BV10551568
塘头,地名,3,2,113.013614,23.103695,狮山镇,poi_contain,B0FFF9UMVQ
西樵官山,地名,3,3,112.981622,22.947637,西樵镇,poi_contain,B0FFKJY45E
杭州,地名,3,2,113.102708,23.188752,大沥镇,poi_contain,B0HBF9YGLN
广西,地名,3,2,113.147405,23.169988,里水镇,poi_contain,B0LG7AVMDB
加拿大,地名,3,1,112.979656,22.95057,西樵镇,poi_contain,B0FFGHBCF6
邱氏书院,建筑遗迹,3,2,113.10216,23.18814,大沥镇,poi_contain,B0FFIZSDND
三江,地名,3,3,113.174695,23.248154,里水镇,poi_contain,B0FFMD65ID
大圃,地名,3,3,113.072528,23.131867,大沥镇,poi_contain,B0FFI47ACY
邯郸别邸,建筑遗迹,3,2,112.960483,22.93567,西樵镇,poi_exact,B0FFG25MJH
青龙桥车站,建筑遗迹,3,2,113.11965,23.067022,大沥镇,poi_contain,B0FFGQ6YRI
大同堡绿涌村,地名,3,1,112.899757,23.023353,丹灶镇,poi_contain,B02F5076XX
枕流亭,建筑遗迹,3,1,112.959751,22.934972,西樵镇,poi_exact,B0FFG1YQ5C
仙馆,建筑遗迹,3,1,112.96052,22.935791,西樵镇,poi_contain,B0HR4SYSLR
象岗岭,地名,3,1,113.005763,22.829408,丹灶镇,poi_contain,B0FFHJ46AE
应元书院,建筑遗迹,2,2,113.10216,23.18814,大沥镇,poi_contain,B0FFIZSDND
西山,地名,2,2,113.003027,22.839448,九江镇,poi_contain,
奇山,地名,2,2,113.017648,22.839732,丹灶镇,poi_contain,B0FFFI7TRK
南方,地名,2,2,113.184848,23.115906,里水镇,poi_contain,B0FFFE7F9U
黄竹岐,地名,2,2,113.190937,23.119147,里水镇,poi_contain,B0FFG59X1M
柳州,地名,2,1,113.163742,23.024598,桂城街道,poi_contain,B0FFLPNTOJ
永安,地名,2,2,113.193705,23.025651,桂城街道,poi_contain,B0H01LRHPR
蔚文书院,建筑遗迹,2,1,113.10216,23.18814,大沥镇,poi_contain,B0FFIZSDND
龙津堡,地名,2,2,113.129834,23.103087,里水镇,poi_contain,B0FFGBESH8
西海,地名,2,2,113.102382,23.122155,大沥镇,poi_contain,B02F50WJ0V
桃源,地名,2,2,113.065351,23.159897,大沥镇,poi_contain,B0G04X8WY2
西村,地名,2,2,112.945098,22.929248,西樵镇,poi_contain,B0H2HRJDON
香亭,建筑遗迹,2,1,113.182861,23.045303,桂城街道,poi_contain,B0FFI1HNYY
真武大铜像,建筑遗迹,2,1,112.931581,23.051209,狮山镇,poi_contain,B0FFKCIJJP
北帝武神铜像,建筑遗迹,2,1,112.931581,23.051209,狮山镇,poi_contain,B0FFKCIJJP
天主堂,建筑遗迹,2,2,113.018708,22.824724,丹灶镇,poi_exact,B0FFK48YQW
会馆,建筑遗迹,2,2,113.142573,23.031358,桂城街道,poi_contain,B0G2ZRHHSR
清溪,地名,2,2,113.180233,23.050085,桂城街道,poi_contain,B0FFK7LWZL
陈村,地名,2,2,113.205968,23.010599,桂城街道,poi_contain,B0FFKKEQYX
何公祠,建筑遗迹,2,2,112.956161,23.177054,狮山镇,poi_contain,B0FFJNAPC6
何氏大宗祠,建筑遗迹,2,2,113.028958,23.190678,狮山镇,poi_exact,B0FFH3ZEI7
吴氏大宗祠,建筑遗迹,2,1,113.07571,23.126967,大沥镇,poi_exact,B0LG0R5O0I
西樵大同绿涌村,地名,2,2,112.899757,23.023353,丹灶镇,poi_contain,B02F5076XX
圣保罗书院,建筑遗迹,2,1,113.10216,23.18814,大沥镇,poi_contain,B0FFIZSDND
学堂,建筑遗迹,2,2,113.159494,23.035931,桂城街道,poi_contain,B0FFHONU21
黄君壁纪念馆,建筑遗迹,2,2,112.946325,22.924316,西樵镇,poi_exact,B02F5076FC
苏州,地名,2,2,113.101745,23.188491,大沥镇,poi_contain,B0FFGX6OOH
南浦,地名,2,2,113.05352,23.232225,狮山镇,poi_contain,B02F507O3B
北帝大铜像,建筑遗迹,2,2,112.931581,23.051209,狮山镇,poi_contain,B0FFKCIJJP
西南涌,地名,2,2,112.96999,23.21289,狮山镇,poi_contain,B0FFFAQ1PE
栅下天后庙,建筑遗迹,2,2,112.901992,23.020149,丹灶镇,poi_contain,B0FFM1XT3R
永安路,地名,2,2,113.193705,23.025651,桂城街道,poi_contain,B0H01LRHPR
南国,建筑遗迹,2,2,113.103946,23.179584,大沥镇,poi_contain,B0FFF9YW23
凉亭,建筑遗迹,2,1,113.172648,23.067412,桂城街道,poi_contain,B0HDHDDKWW
何氏世祠,建筑遗迹,2,1,112.973323,22.988431,丹灶镇,poi_exact,
台湾,地名,2,2,112.983899,23.175839,狮山镇,poi_contain,B0FFMHXEME
西樵简村,地名,2,2,112.950197,22.94808,西樵镇,poi_contain,B0FFKZZLC2
冯氏宗祠,建筑遗迹,2,2,113.172623,23.193748,里水镇,poi_exact,B0FFK7NCY6
西医书院,建筑遗迹,2,2,113.10216,23.18814,大沥镇,poi_contain,B0FFIZSDND
珠海,地名,2,2,113.150812,23.052088,桂城街道,poi_contain,B02F511W5J
钟楼,建筑遗迹,2,2,113.103936,23.179578,大沥镇,poi_contain,B0FFG05G5W
鼓楼,建筑遗迹,2,2,113.102568,23.188504,大沥镇,poi_contain,B0FFF9RBQK
一洞天,建筑遗迹,2,2,112.959579,22.9364,西樵镇,poi_contain,B0FFG2E57P
广州越秀古书院,建筑遗迹,2,2,113.10216,23.18814,大沥镇,poi_contain,B0FFIZSDND
韩山书院,建筑遗迹,2,2,113.10216,23.18814,大沥镇,poi_contain,B0FFIZSDND
革命烈士纪念碑,建筑遗迹,2,2,113.129563,23.117522,大沥镇,poi_contain,
罗村二中,地名,2,1,113.040682,23.054786,狮山镇,poi_exact,B02F5076B3
